register_hex,register_name,register_purpose,value_meaning_or_pair,manual_pdf_page,720p_15_current_hex,720p_15_mainline_hex,720p_15_network_hex,720p_30_current_hex,720p_30_mainline_hex,720p_30_network_hex,xga_15_current_hex,xga_15_mainline_hex,xga_15_network_hex,xga_30_current_hex,xga_30_mainline_hex,xga_30_network_hex,reference_scope_and_notes
0x370c,SENSOR_CONTROL,"Sensor analog/digital tuning","mode-table tuning value 0x03",N/A,0x03,0x03,0x03,0x03,0x03,0x03,0x03,0x03,N/A,0x03,0x03,N/A,"Treat as vendor tuning; the network XGA size-only table does not write it."
0x3800,TIMING_HS_H,"Input window horizontal start high byte","with 0x3801: 0x0000=0",109,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,"Windowing registers: OV5640 datasheet PDF p.109-110."
0x3801,TIMING_HS_L,"Input window horizontal start low byte","with 0x3800: 0x0000=0",109,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,"Windowing registers: OV5640 datasheet PDF p.109-110."
0x3802,TIMING_VS_H,"Input window vertical start high byte","with 0x3803: 720P 0x00fa=250; current XGA 0x0004=4",109,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,"Network XGA uses start Y=0 because it is a separate JPEG/SPI size table."
0x3803,TIMING_VS_L,"Input window vertical start low byte","with 0x3802: 0xfa=250 for 720P; 0x04=4 for current/mainline XGA",109,0xfa,0xfa,0xfa,0xfa,0xfa,0xfa,0x04,0x04,0x00,0x04,0x04,0x00,"Network XGA is size-only JPEG/SPI configuration and does not declare a frame rate."
0x3804,TIMING_HW_H,"Input window horizontal end high byte","with 0x3805: 0x0a3f=2623",109,0x0a,0x0a,0x0a,0x0a,0x0a,0x0a,0x0a,0x0a,0x0a,0x0a,0x0a,0x0a,"Windowing registers: OV5640 datasheet PDF p.109-110."
0x3805,TIMING_HW_L,"Input window horizontal end low byte","with 0x3804: 0x0a3f=2623",109,0x3f,0x3f,0x3f,0x3f,0x3f,0x3f,0x3f,0x3f,0x3f,0x3f,0x3f,0x3f,"Windowing registers: OV5640 datasheet PDF p.109-110."
0x3806,TIMING_VH_H,"Input window vertical end high byte","with 0x3807: 720P 0x06a9=1705; current/mainline XGA 0x079b=1947",109,0x06,0x06,0x06,0x06,0x06,0x06,0x07,0x07,0x07,0x07,0x07,0x07,"Network XGA uses 0x079f=1951."
0x3807,TIMING_VH_L,"Input window vertical end low byte","with 0x3806: 0xa9=1705 for 720P; 0x9b=1947 current/mainline XGA",109,0xa9,0xa9,0xa9,0xa9,0xa9,0xa9,0x9b,0x9b,0x9f,0x9b,0x9b,0x9f,"Network XGA uses a distinct JPEG/SPI input window."
0x3808,TIMING_DVPHO_H,"DVP output horizontal width high byte","with 0x3809: 0x0500=1280; 0x0400=1024",109,0x05,0x05,0x05,0x05,0x05,0x05,0x04,0x04,0x04,0x04,0x04,0x04,"0x0400 is 1024, not 400 decimal."
0x3809,TIMING_DVPHO_L,"DVP output horizontal width low byte","with 0x3808: 0x0500=1280; 0x0400=1024",109,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,"DVP output width: OV5640 datasheet PDF p.109."
0x380a,TIMING_DVPVO_H,"DVP output vertical height high byte","with 0x380b: 0x02d0=720; 0x0300=768",110,0x02,0x02,0x02,0x02,0x02,0x02,0x03,0x03,0x03,0x03,0x03,0x03,"DVP output height: OV5640 datasheet PDF p.110."
0x380b,TIMING_DVPVO_L,"DVP output vertical height low byte","with 0x380a: 0x02d0=720; 0x0300=768",110,0xd0,0xd0,0xd0,0xd0,0xd0,0xd0,0x00,0x00,0x00,0x00,0x00,0x00,"DVP output height: OV5640 datasheet PDF p.110."
0x380c,TIMING_HTS_H,"Total horizontal size high byte","with 0x380d: 720P 0x0764=1892; current/mainline XGA 0x0768=1896",110,0x07,0x07,0x07,0x07,0x07,0x07,0x07,0x07,0x0c,0x07,0x07,0x0c,"Network XGA JPEG/SPI table uses HTS=0x0c80=3200."
0x380d,TIMING_HTS_L,"Total horizontal size low byte","with 0x380c: 720P 0x0764=1892; current/mainline XGA 0x0768=1896",110,0x64,0x64,0x64,0x64,0x64,0x64,0x68,0x68,0x80,0x68,0x68,0x80,"HTS contributes to frame rate with VTS and clock."
0x380e,TIMING_VTS_H,"Total vertical size high byte","with 0x380f: current 720P 0x02e4=740; current XGA 0x03d8=984; mainline XGA 0x0438=1080",110,0x02,0x02,0x02,0x02,0x02,0x02,0x03,0x04,0x07,0x03,0x04,0x07,"Mainline uses the same XGA VTS=1080 for 15/30fps and changes PCLK dynamically. Network XGA uses VTS=0x07d0=2000."
0x380f,TIMING_VTS_L,"Total vertical size low byte","with 0x380e: current 720P 0x02e4=740; current XGA 0x03d8=984; mainline XGA 0x0438=1080",110,0xe4,0xe4,0xe4,0xe4,0xe4,0xe4,0xd8,0x38,0xd0,0xd8,0x38,0xd0,"VTS contributes to frame rate with HTS and clock."
0x3813,TIMING_VOFFSET_L,"ISP vertical offset low byte","0x04=4 for 720P; 0x06=6 for current/mainline XGA",110,0x04,0x04,0x04,0x04,0x04,0x04,0x06,0x06,N/A,0x06,0x06,N/A,"Network XGA table omits offsets and uses separate ISP crop registers 0x5680-0x5687."
0x3814,TIMING_X_INC,"Horizontal odd/even subsample increment","0x31 is the vendor subsampling increment",110,0x31,0x31,0x31,0x31,0x31,0x31,0x31,0x31,N/A,0x31,0x31,N/A,"Network XGA size-only table does not write increment registers."
0x3815,TIMING_Y_INC,"Vertical odd/even subsample increment","0x31 is the vendor subsampling increment",110,0x31,0x31,0x31,0x31,0x31,0x31,0x31,0x31,N/A,0x31,0x31,N/A,"Network XGA size-only table does not write increment registers."
0x3820,TIMING_TC_REG20,"ISP/sensor vertical flip control","0x41 has ISP vflip bit set; 0x46 additionally sets sensor vflip",110,0x41,0x41,0x41,0x41,0x41,0x41,0x41,0x41,N/A,0x41,0x41,N/A,"Current 720P and XGA tables shown here have 0x41."
0x3821,TIMING_TC_REG21,"JPEG enable, ISP/sensor mirror and horizontal binning","0x07 enables ISP/sensor mirror and horizontal binning",110,0x07,0x07,0x07,0x07,0x07,0x07,0x07,0x07,N/A,0x07,0x07,N/A,"Network XGA size-only table does not write this register."
0x3824,DVP_PCLK_DIVIDER,"DVP PCLK manual divider","effective only when 0x460c bit1=1; values here are table literals",131,0x04,0x04,0x04,0x04,0x04,0x04,0x01,0x02,N/A,0x01,0x02,N/A,"Mainline 720P static value=0x04; mainline XGA static low-res value=0x02. Current XGA uses automatic mode because 0x460c=0x20."
0x3a02,AEC_PK_VTS_H,"60Hz maximum exposure high byte","with 0x3a03: exposure-limit value",N/A,0x02,0x02,0x02,0x02,0x02,0x02,0x0b,0x03,N/A,0x0b,0x03,N/A,"Current 720P uses 0x02e0 while mainline/network use 0x02e4. Current XGA uses 0x0b88 while mainline uses 0x03d8."
0x3a03,AEC_PK_VTS_L,"60Hz maximum exposure low byte","with 0x3a02: exposure-limit value",N/A,0xe0,0xe4,0xe0,0xe0,0xe4,0xe0,0x88,0xd8,N/A,0x88,0xd8,N/A,"Network 720P@30 inherits the 15fps table except 0x3035."
0x3a14,AEC_PK_VTS_H,"50Hz maximum exposure high byte","with 0x3a15: exposure-limit value",N/A,0x02,0x02,0x02,0x02,0x02,0x02,0x0b,0x03,N/A,0x0b,0x03,N/A,"Current 720P uses same high byte as mainline/network."
0x3a15,AEC_PK_VTS_L,"50Hz maximum exposure low byte","with 0x3a14: exposure-limit value",N/A,0xe0,0xe4,0xe0,0xe0,0xe4,0xe0,0x88,0xd8,N/A,0x88,0xd8,N/A,"Current 720P differs from mainline by 0xe0 vs 0xe4."
0x3c07,LIGHT_METER_CTRL07,"Light meter threshold","0x07 for 720P; 0x08 for XGA",N/A,0x07,0x07,0x07,0x07,0x07,0x07,0x08,0x08,N/A,0x08,0x08,N/A,"Network XGA size-only table does not write light-meter settings."
0x4004,BLC_CTRL04,"Black-level-correction line count","0x02 selects the vendor low-resolution BLC setting",N/A,0x02,0x02,0x02,0x02,0x02,0x02,0x02,0x02,N/A,0x02,0x02,N/A,"Network XGA size-only table does not write BLC settings."
0x4407,JPEG_CTRL07,"JPEG quantization scale","0x04 is the legacy/mainline low-resolution value",N/A,0x04,0x04,0x04,0x04,0x04,0x04,0x04,0x04,N/A,0x04,0x04,N/A,"Network XGA size-only table does not write JPEG control."
0x460b,VFIFO_CTRL0B,"VFIFO/debug control","0x37 for 720P; 0x35 for XGA low-resolution table",N/A,0x37,0x37,0x37,0x37,0x37,0x37,0x35,0x35,N/A,0x35,0x35,N/A,"Treat as vendor FIFO tuning."
0x460c,VFIFO_CTRL0C,"DVP PCLK automatic/manual divider selection","bit1=0 automatic (0x20); bit1=1 manual (0x22)",131,0x20,0x20,0x20,0x20,0x20,0x20,0x20,0x22,N/A,0x20,0x22,N/A,"Current XGA sets automatic PCLK division while mainline low-res table enables manual division."
0x4713,JPG_MODE_SELECT,"JPEG mode select","low bits 0x03 select JPEG mode 3",132,0x03,N/A,0x03,0x03,N/A,0x03,0x03,N/A,N/A,0x03,N/A,N/A,"Current/network 720P write this legacy JPEG value. Mainline mode tables and network XGA size-only table do not write it."
0x4837,PCLK_PERIOD,"MIPI PCLK period","0x16 is the 720P legacy MIPI timing value; 0x22 is XGA legacy value",98,0x16,N/A,0x16,0x16,N/A,0x16,0x22,N/A,N/A,0x22,N/A,N/A,"This register is MIPI timing; it is not the DVP frame-rate determinant. Mainline DVP path does not write it."
0x5001,ISP_CONTROL01,"ISP enable/control","0x83 for 720P; 0xa3 for XGA low-resolution table",N/A,0x83,0x83,0x83,0x83,0x83,0x83,0xa3,0xa3,0xa3,0xa3,0xa3,0xa3,"Network XGA JPEG/SPI table explicitly writes 0xa3."
